BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;8525764656;58;46;0x4000
0;0;10833355607;42;28;0x4000
0;0;12846722452;111;93;0x4000
0;0;31937874592;54;48;0x4000
0;0;32969898045;81;71;0x4000
0;0;35842508374;88;70;0x4000
0;0;36270473436;60;45;0x4000
0;0;80714194779;85;63;0x4000
0;0;91203582655;55;52;0x4000
0;0;93542656103;277;220;0x4000
0;0;94559328055;461;364;0x4000
0;0;102529153546;37;35;0x4000
0;0;103965714479;384;320;0x4000
0;0;110367774623;32;27;0x4000
0;0;113521576394;296;259;0x4000
0;0;117760738974;99;85;0x4000
0;0;118976258623;47;43;0x4000
0;0;134882123022;65;60;0x4000
0;0;146222851951;359;324;0x4000
0;0;149688642647;137;89;0x4000
0;0;152108523812;78;45;0x4000
0;0;155935863178;70;58;0x4000
0;0;161788380733;45;37;0x4000
0;0;171773080703;44;45;0x4000
0;0;186576945952;47;36;0x4000
0;0;190642507545;41;39;0x4000
0;0;194337242304;87;84;0x4000
0;0;198476347780;28;22;0x4000
0;0;215212690001;62;60;0x4000
0;0;219140854248;30;29;0x4000
0;0;240213085124;56;47;0x4000
0;0;242184507531;74;66;0x4000
0;0;245559329984;54;41;0x4000
0;0;248339722311;24;25;0x4000
0;0;253852896365;69;65;0x4000
0;0;266479075265;74;60;0x4000
0;0;267788077374;55;38;0x4000
0;0;272366235717;145;119;0x4000
0;0;277868430249;54;43;0x4000
0;0;281182144546;169;155;0x4000
0;0;291196325186;48;48;0x4000
0;0;294287783889;23;27;0x4000
0;0;301045769733;59;54;0x4000
0;0;308219380843;46;38;0x4000
0;0;316791227732;43;36;0x4000
0;0;353696698514;67;53;0x4000
0;0;354626662363;436;366;0x4000
0;0;359184138514;727;621;0x4000
0;0;361698392914;69;60;0x4000
0;0;362295882920;47;41;0x4000
0;0;363116022881;83;68;0x4000
0;0;369236701514;65;52;0x4000
0;0;370259982499;20;26;0x4000
0;0;370859129858;55;46;0x4000
0;0;375243139218;47;49;0x4000
0;0;377258210867;387;327;0x4000
0;0;384117012896;172;128;0x4000
0;0;386575959577;30;28;0x4000
0;0;387937743233;74;57;0x4000
0;0;391968650952;35;40;0x4000
0;0;407914951311;58;39;0x4000
0;0;411469110670;146;134;0x4000
0;0;416186035467;60;52;0x4000
0;0;430484802515;122;113;0x4000
0;0;436812214576;29;34;0x4000
0;0;453642473530;37;40;0x4000
0;0;484745230749;83;54;0x4000
0;0;488823783810;35;24;0x4000
0;0;500450553936;51;44;0x4000
0;0;517570760515;150;137;0x4000
0;0;519118180365;77;64;0x4000
0;0;526011418037;62;55;0x4000
0;0;532820582577;44;39;0x4000
0;0;546490216849;159;128;0x4000
0;0;547511963201;67;51;0x4000
0;0;548720819561;42;38;0x4000
0;0;583561291013;82;76;0x4000
0;0;583742657670;65;62;0x4000
0;0;593207174631;77;58;0x4000
0;0;595668029374;87;79;0x4000
0;0;596688968323;552;442;0x4000
0;0;596921286796;48;47;0x4000
0;0;598331901147;108;102;0x4000
0;0;601613588166;126;100;0x4000
0;0;603079578999;47;43;0x4000
0;0;606176733109;59;58;0x4000
0;0;611907730773;95;81;0x4000
0;0;630552864905;87;84;0x4000
0;0;633261863163;59;58;0x4000
0;0;635362516440;642;547;0x4000
0;0;637818567733;39;28;0x4000
0;0;640646316389;398;350;0x4000
0;0;646526116913;125;113;0x4000
0;0;646855140474;73;61;0x4000
0;0;657641874624;74;56;0x4000
0;0;667885742624;60;52;0x4000
0;0;669110024326;410;341;0x4000
0;0;670958440420;51;48;0x4000
0;0;682693022755;156;128;0x4000
0;0;690238120382;98;91;0x4000
0;0;707060537545;29;31;0x4000
0;0;707368948139;92;72;0x4000
0;0;716709110515;50;46;0x4000
0;0;718832791357;56;32;0x4000
0;0;724892106327;620;496;0x4000
0;0;731055871123;43;34;0x4000
0;0;732410504765;51;41;0x4000
0;0;747683401842;56;46;0x4000
0;0;750126732217;44;40;0x4000
0;0;757109682373;365;314;0x4000
0;0;795731974123;57;56;0x4000
0;0;799377789357;99;49;0x4000
0;0;813906254733;48;45;0x4000
0;0;824480133365;78;75;0x4000
0;0;835603693967;71;57;0x4000
0;0;837090174425;124;115;0x4000
0;0;850597616545;97;78;0x4000
0;0;855364582857;352;306;0x4000
0;0;855509381288;85;72;0x4000
0;0;863510232569;87;74;0x4000
0;0;875844980609;54;46;0x4000
0;0;890040393686;39;37;0x4000
0;0;895932908310;37;28;0x4000
0;0;903034466210;292;271;0x4000
0;0;904892810326;84;67;0x4000
0;0;909087936905;35;36;0x4000
0;0;914891626396;55;46;0x4000
0;0;920094248882;98;78;0x4000
0;0;922782987655;33;25;0x4000
0;0;930135647061;101;85;0x4000
0;0;941529790377;688;587;0x4000
0;0;946424042616;262;226;0x4000
0;0;946975360749;93;76;0x4000
0;0;952591837952;23;22;0x4000
0;0;964532847078;53;48;0x4000
0;0;966311334570;127;119;0x4000
0;0;975821352257;501;444;0x4000
0;0;986585647022;38;72;0x4000
0;0;989928200982;45;45;0x4000
0;0;991247590257;544;474;0x4000
0;0;991306441468;139;120;0x4000
0;0;1002330908515;175;128;0x4000
0;0;1007730129499;138;126;0x4000
0;0;1018068285444;148;128;0x4000
0;0;1018070736648;283;230;0x4000
0;0;1023324696467;70;54;0x4000
0;0;1027728165858;27;25;0x4000
0;0;1055649013288;357;285;0x4000
0;0;1063509342796;419;369;0x4000
0;0;1063631887498;64;55;0x4000
0;0;1063632896436;44;42;0x4000
0;0;1072894605357;94;69;0x4000
0;0;1079914257499;72;57;0x4000
0;0;1082203703779;39;32;0x4000
0;0;1086709188951;63;55;0x4000
0;0;1088085069671;51;43;0x4000
0;0;1096140445921;87;69;0x4000
0;0;1109024931483;46;47;0x4000
0;0;1123314883374;52;46;0x4000
0;0;1124369565287;346;275;0x4000
0;0;1126151482593;38;31;0x4000
0;0;1134634493888;65;59;0x4000
0;0;1140841962662;425;376;0x4000
0;0;1140974308686;169;150;0x4000
0;0;1145931109046;57;53;0x4000
0;0;1159684517890;73;49;0x4000
0;0;1161809187826;78;76;0x4000
0;0;1162158051717;71;60;0x4000
0;0;1162262029248;73;67;0x4000
0;0;1167144514796;66;50;0x4000
0;0;1174129048608;63;55;0x4000
0;0;1180392106615;48;49;0x4000
0;0;1183394524905;43;41;0x4000
0;0;1183671101592;398;314;0x4000
0;0;1208506698857;60;56;0x4000
0;0;1209048012803;147;103;0x4000
0;0;1229005892249;46;45;0x4000
0;0;1234151416029;37;29;0x4000
0;0;1237734350460;100;82;0x4000
0;0;1251702855029;39;37;0x4000
0;0;1253995229952;75;65;0x4000
0;0;1256417467202;29;28;0x4000
0;0;1280845997015;75;68;0x4000
0;0;1287367694951;28;34;0x4000
0;0;1289878390857;48;40;0x4000
0;0;1291354902670;78;67;0x4000
0;0;1300138855467;37;30;0x4000
0;0;1305957986608;37;37;0x4000
0;0;1310811369638;35;31;0x4000
0;0;1315465845007;462;332;0x4000
0;0;1326044429749;63;57;0x4000
0;0;1328777680061;87;62;0x4000
0;0;1342305459921;23;21;0x4000
0;0;1342933925686;47;41;0x4000
0;0;1344115697341;41;38;0x4000
0;0;1344633084197;396;331;0x4000
0;0;1345521801030;528;449;0x4000
0;0;1353951435187;94;72;0x4000
0;0;1360913075405;125;116;0x4000
0;0;1363511387132;360;304;0x4000
0;0;1364271165967;18;21;0x4000
0;0;1366019458639;385;320;0x4000
0;0;1386107379890;34;34;0x4000
0;0;1406017886421;38;35;0x4000
0;0;1411831184467;62;45;0x4000
0;0;1412685106112;125;107;0x4000
0;0;1419472207452;39;36;0x4000
0;0;1424497957857;107;92;0x4000
0;0;1431112012749;79;56;0x4000
0;0;1464536495498;59;45;0x4000
0;0;1490387928148;115;97;0x4000
0;0;1496608301546;38;33;0x4000
0;0;1499294059889;85;64;0x4000
0;0;1510788419498;53;43;0x4000
0;0;1516698068443;70;46;0x4000
0;0;1524888030224;88;72;0x4000
0;0;1531915859468;40;40;0x4000
0;0;1536529471967;15;17;0x4000
0;0;1537634165858;59;55;0x4000
0;0;1545695043342;85;72;0x4000
0;0;1559752718968;40;27;0x4000
0;0;1574987264358;58;50;0x4000
0;0;1584076596857;58;40;0x4000
0;0;1584129232429;93;88;0x4000
0;0;1584693720960;91;84;0x4000
0;0;1585294554655;68;59;0x4000
0;0;1589222882351;104;99;0x4000
0;0;1591300275702;37;37;0x4000
0;0;1596768745811;22;21;0x4000
0;0;1597672577093;41;41;0x4000
0;0;1598995530596;476;417;0x4000
0;0;1605963617546;74;55;0x4000
0;0;1612956123764;301;247;0x4000
0;0;1622424343607;346;283;0x4000
0;0;1624970855022;177;148;0x4000
0;0;1625312885193;63;59;0x4000
0;0;1627827656241;107;78;0x4000
0;0;1629277476413;81;57;0x4000
0;0;1635327363936;36;33;0x4000
0;0;1650045207608;89;87;0x4000
0;0;1653914694451;53;52;0x4000
0;0;1663620496257;97;89;0x4000
0;0;1671353139843;241;44;0x4000
0;0;1677418007624;93;80;0x4000
0;0;1680346801781;37;33;0x4000
0;0;1696308509686;16;20;0x4000
0;0;1696356101390;66;65;0x4000
0;0;1702959092162;134;113;0x4000
0;0;1715068965217;57;52;0x4000
0;0;1721682469076;50;37;0x4000
0;0;1723624160608;352;297;0x4000
0;0;1738327693936;40;30;0x4000
0;0;1744894606967;63;35;0x4000
0;0;1758640980749;38;36;0x4000
0;0;1777744433530;60;39;0x4000
0;0;1785031184624;35;29;0x4000
0;0;1787461788452;46;42;0x4000
0;0;1791396350647;125;117;0x4000
0;0;1799958569718;40;29;0x4000
0;0;1810974633264;52;44;0x4000
0;0;1841363361561;52;38;0x4000
0;0;1849049030201;89;83;0x4000
0;0;1857204188748;43;37;0x4000
0;0;1859190279936;52;46;0x4000
0;0;1862177666427;100;63;0x4000
